label,mode,stake,prob,max_odds,bets,wr,roi,final_bk,growth,drawdown,lose_str,avg_odds,score,score2
CPROB s=0.01 p=0.55 l=3 cmo=5.0,COMBO,0.01,0.55,1.8,651,29.5,-0.44,193.9,-3.0,37.6,27,3.49,-0.08,-1.779
CPROB s=0.01 p=0.6 l=2 cmo=3.0,COMBO,0.01,0.6,1.8,586,42.5,-2.19,174.7,-12.6,27.4,12,2.35,-0.462,-10.139
CPROB s=0.01 p=0.6 l=2 cmo=5.0,COMBO,0.01,0.6,1.8,586,42.8,-1.01,188.1,-6.0,24.1,12,2.35,-0.248,-4.884
CPROB s=0.01 p=0.6 l=3 cmo=3.0,COMBO,0.01,0.6,1.8,586,41.5,1.69,220.5,10.2,24.9,12,2.5,0.41,8.086
CPROB s=0.01 p=0.6 l=3 cmo=5.0,COMBO,0.01,0.6,1.8,586,33.1,3.64,246.0,23.0,24.6,23,3.29,0.934,17.497
CPROB s=0.01 p=0.65 l=2 cmo=3.0,COMBO,0.01,0.65,1.8,455,46.6,0.51,204.7,2.3,25.2,10,2.19,0.093,2.335
CPROB s=0.01 p=0.65 l=2 cmo=5.0,COMBO,0.01,0.65,1.8,455,46.6,0.51,204.7,2.3,25.2,10,2.19,0.093,2.335
CPROB s=0.01 p=0.65 l=3 cmo=3.0,COMBO,0.01,0.65,1.8,455,44.0,4.13,239.0,19.5,21.4,9,2.44,0.911,19.87
CPROB s=0.01 p=0.65 l=3 cmo=5.0,COMBO,0.01,0.65,1.8,455,36.0,-0.25,197.6,-1.2,24.5,14,2.93,-0.048,-1.155
CPROB s=0.02 p=0.55 l=2 cmo=3.0,COMBO,0.02,0.55,1.8,648,40.6,-3.64,111.1,-44.5,62.4,12,2.42,-0.713,-8.872
CPROB s=0.02 p=0.55 l=2 cmo=5.0,COMBO,0.02,0.55,1.8,651,40.7,-2.38,138.8,-30.6,52.9,12,2.44,-0.579,-7.267
CPROB s=0.02 p=0.55 l=3 cmo=3.0,COMBO,0.02,0.55,1.8,648,40.4,1.15,231.1,15.6,55.9,12,2.54,0.278,3.286
CPROB s=0.02 p=0.55 l=3 cmo=5.0,COMBO,0.02,0.55,1.8,651,29.5,0.03,200.8,0.4,55.9,27,3.49,0.007,0.086
CPROB s=0.02 p=0.6 l=2 cmo=3.0,COMBO,0.02,0.6,1.8,586,42.5,-2.64,140.4,-29.8,49.6,12,2.35,-0.602,-8.489
CPROB s=0.02 p=0.6 l=2 cmo=5.0,COMBO,0.02,0.6,1.8,586,42.8,-1.36,167.9,-16.0,42.6,12,2.35,-0.376,-4.976
CPROB s=0.02 p=0.6 l=3 cmo=3.0,COMBO,0.02,0.6,1.8,586,41.5,1.64,240.7,20.4,46.7,12,2.5,0.436,5.573
CPROB s=0.02 p=0.6 l=3 cmo=5.0,COMBO,0.02,0.6,1.8,586,33.1,3.0,281.0,40.5,40.6,23,3.29,0.998,11.36
CPROB s=0.02 p=0.65 l=2 cmo=3.0,COMBO,0.02,0.65,1.8,455,46.6,0.06,201.2,0.6,46.7,10,2.19,0.012,0.196
CPROB s=0.02 p=0.65 l=2 cmo=5.0,COMBO,0.02,0.65,1.8,455,46.6,0.06,201.2,0.6,46.7,10,2.19,0.012,0.196
CPROB s=0.02 p=0.65 l=3 cmo=3.0,COMBO,0.02,0.65,1.8,455,44.0,3.84,275.0,37.5,41.1,9,2.44,0.912,13.841
CPROB s=0.02 p=0.65 l=3 cmo=5.0,COMBO,0.02,0.65,1.8,455,36.0,-0.69,187.1,-6.5,45.5,14,2.93,-0.142,-2.304
