label,mode,stake,edge,prob,max_odds,bets,wr,roi,final_bk,growth,drawdown,lose_str,avg_odds,score,score2
S s=0.02 e=0.03 p=0.65 mo=None,SIMPLE,0.02,0.03,0.65,,517,68.1,1.48,230.6,15.3,19.4,4,1.5,0.79,7.459
S s=0.02 e=0.05 p=0.5 mo=2.0,SIMPLE,0.02,0.05,0.5,2.0,216,63.9,-1.79,184.8,-7.6,21.4,4,1.55,-0.256,-7.568
S s=0.02 e=0.05 p=0.5 mo=3.0,SIMPLE,0.02,0.05,0.5,3.0,218,63.8,-1.75,185.0,-7.5,21.4,4,1.56,-0.254,-7.41
S s=0.02 e=0.05 p=0.5 mo=None,SIMPLE,0.02,0.05,0.5,,218,63.8,-1.75,185.0,-7.5,21.4,4,1.56,-0.254,-7.41
S s=0.02 e=0.05 p=0.55 mo=2.0,SIMPLE,0.02,0.05,0.55,2.0,216,63.9,-1.79,184.8,-7.6,21.4,4,1.55,-0.256,-7.568
S s=0.02 e=0.05 p=0.55 mo=3.0,SIMPLE,0.02,0.05,0.55,3.0,216,63.9,-1.79,184.8,-7.6,21.4,4,1.55,-0.256,-7.568
S s=0.02 e=0.05 p=0.55 mo=None,SIMPLE,0.02,0.05,0.55,,216,63.9,-1.79,184.8,-7.6,21.4,4,1.55,-0.256,-7.568
S s=0.02 e=0.05 p=0.6 mo=2.0,SIMPLE,0.02,0.05,0.6,2.0,207,65.2,-0.36,197.0,-1.5,21.4,4,1.54,-0.049,-1.51
S s=0.02 e=0.05 p=0.6 mo=3.0,SIMPLE,0.02,0.05,0.6,3.0,207,65.2,-0.36,197.0,-1.5,21.4,4,1.54,-0.049,-1.51
S s=0.02 e=0.05 p=0.6 mo=None,SIMPLE,0.02,0.05,0.6,,207,65.2,-0.36,197.0,-1.5,21.4,4,1.54,-0.049,-1.51
S s=0.02 e=0.05 p=0.65 mo=2.0,SIMPLE,0.02,0.05,0.65,2.0,193,64.2,-2.92,177.6,-11.2,24.9,4,1.52,-0.289,-11.547
